Exam_Component_ID,Title,Date_of_Test,Time_of_Test,Building,Room,Instructor,class,class_level
1,Fund of Financial Accounting,12-17-2024,8:30AM-11:00AM,WEST,LECT 2,Micale,ACCT,115
3,Fund of Financial Accounting,12-17-2024,8:30AM-11:00AM,ECEC,115,Ma,ACCT,115
5,Fund of Financial Accounting,12-17-2024,8:30AM-11:00AM,GITC,1400,Seda,ACCT,115
7,Fund of Financial Accounting,12-17-2024,8:30AM-11:00AM,GITC,1400,Seda,ACCT,115
101,Fund of Financial Accounting,12-18-2024,6:00PM-8:30PM,WEST,LECT 2,Nwachuku,ACCT,115
103,Fund of Financial Accounting,12-19-2024,6:00PM-8:30PM,CAB,3052,Beerbower,ACCT,115
1,Principles Of Fin Accountng,12-17-2024,8:30AM-11:00AM,CKB,217,Derbaly,ACCT,117
3,Principles Of Fin Accountng,12-17-2024,8:30AM-11:00AM,CKB,217,Derbaly,ACCT,117
101,Principles Of Fin Accountng,12-17-2024,6:00PM-8:30PM,FMH,306,Green,ACCT,117
1,Managerial Accounting I,12-17-2024,8:30AM-11:00AM,CULM,LECT 2,Tamke,ACCT,215
3,Managerial Accounting I,12-17-2024,8:30AM-11:00AM,CULM,LECT 2,Tamke,ACCT,215
1,Intermediate Accounting I,12-18-2024,8:30AM-11:00AM,FMH,319,Tamke,ACCT,325
1,Financial Statement Analysis,12-17-2024,2:30PM-5:00PM,FMH,403,Tamke,ACCT,403
101,Tax Accounting I,12-19-2024,6:00PM-8:30PM,KUPF,203,Tang,ACCT,425
1,Management Accounting,12-18-2024,2:30PM-5:00PM,KUPF,108,Taylor,ACCT,615
3,Management Accounting,12-18-2024,2:30PM-5:00PM,FMH,313,Li,ACCT,615
853,Management Accounting,12-21-2024,9:00AM-11:30AM,Online,NULL,Seda,ACCT,615
855,Management Accounting,12-18-2024,6:00PM-8:30PM,Online,NULL,Taylor,ACCT,615
1,Color and Composition,12-19-2024,8:30AM-11:00AM,WEST,LECT 1,Short,AD,150
3,Color and Composition,12-19-2024,8:30AM-11:00AM,WEST,LECT 1,Nelson,AD,150
5,Color and Composition,12-19-2024,8:30AM-11:00AM,WEST,LECT 1,Sobers,AD,150
9,Color and Composition,12-19-2024,8:30AM-11:00AM,WEST,LECT 1,Goldman,AD,150
11,Color and Composition,12-19-2024,8:30AM-11:00AM,WEST,LECT 1,Sobers,AD,150
